# time, phase, observation, F, A1, A2, A3, A4, A5, A6, B1, B2, B3, B4, B5, B6
0.000000000000000000e+00 0.000000000000000000e+00 7.499999999999997780e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
6.250000000000000130e-05 5.890486225480862092e-02 1.208755587031458578e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
1.250000000000000026e-04 1.178097245096172418e-01 1.694767032154768094e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
1.875000000000000039e-04 1.767145867644258628e-01 2.142017912854205619e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
2.500000000000000052e-04 2.356194490192344837e-01 2.487149679688533066e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.125000000000000065e-04 2.945243112740431046e-01 2.677439699298348241e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.750000000000000078e-04 3.534291735288517255e-01 2.677587504794940454e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
4.375000000000000091e-04 4.123340357836603465e-01 2.474481443420920801e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
5.000000000000000104e-04 4.712388980384689674e-01 2.079354332867228372e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
5.625000000000000659e-04 5.301437602932775883e-01 1.527044790276421704e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
